context,context_label,chinese,english,source_file:line
property_desc,属性描述,0表示每个材质一个颜色；大于0表示在N个颜色的色卡中随机挑选,0 = one color per material; greater than 0 randomly picks from an N-color palette,ops\other\other_material_dye_tool.py:62
property_desc,属性描述,0表示每个物体一个颜色；大于0表示在N个颜色的色卡中随机挑选,0 = one color per object; greater than 0 randomly picks from an N-color palette,ops\other\other_object_dye_tool.py:100
property_name,属性名,32位浮点,32-bit Float,ops\nodetree\nodetree_shader_bake_node.py:142
property_name,属性名,8位整数,8-bit Integer,ops\view3d\view3d_mesh_attribute_tool.py:9
property_name,属性名,B (蓝色),B (Blue),ops\nodetree\nodetree_color_curve_tools.py:98
property_name,属性名,C (综合),C (Combined),ops\nodetree\nodetree_color_curve_tools.py:95
property_name,属性名,G (绿色),G (Green),ops\nodetree\nodetree_color_curve_tools.py:97
property_name,属性名,R (红色),R (Red),ops\nodetree\nodetree_color_curve_tools.py:96
property_name,属性名,UV 方向,UV Direction,ops\view3d\view3d_mesh_face_loop_select.py:29
property_name,属性名,UV角度阈值,UV Angle Threshold,ops\view3d\view3d_mesh_filter_batch_selector.py:265
property_name,属性名,UV通道,UV Channel,ops\nodetree\nodetree_shader_bake_node.py:138
property_name,属性名,X 位移,X Location,ops\view3d\view3d_parent_transform.py:228
property_name,属性名,X 旋转,X Rotation,ops\view3d\view3d_parent_transform.py:229
property_name,属性名,X 缩放,X Scale,ops\view3d\view3d_parent_transform.py:230
property_name,属性名,Y 位移,Y Location,ops\view3d\view3d_parent_transform.py:234
property_name,属性名,Y 旋转,Y Rotation,ops\view3d\view3d_parent_transform.py:235
property_name,属性名,Y 缩放,Y Scale,ops\view3d\view3d_parent_transform.py:236
property_name,属性名,Z 位移,Z Location,ops\view3d\view3d_parent_transform.py:240
property_name,属性名,Z 旋转,Z Rotation,ops\view3d\view3d_parent_transform.py:241
property_name,属性名,Z 缩放,Z Scale,ops\view3d\view3d_parent_transform.py:242
draw_label,Panel 标签,[build] 打包高级选项:,[build] Build Advanced Options:,ops\other\other_addon_pack.py:603
draw_label,Panel 标签,[permissions] 插件权限声明:,[permissions] Permission Declarations:,ops\other\other_addon_pack.py:595
error_prefix,错误前缀,[命令输出],[Command Output],ops\other\other_addon_pack.py:67
error_prefix,错误前缀,[命令错误],[Command Error],ops\other\other_addon_pack.py:69
report,报告消息,__init__.py 文件不存在,__init__.py not found,ops\other\other_addon_pack.py:49
report,报告消息,blender_manifest.toml 文件不存在，请先生成,"blender_manifest.toml not found, please generate first",ops\other\other_addon_pack.py:52
draw_label,Panel 标签,“一切功能服务于对原生功能的【体验优化】及【功能延展】”,"""Every feature serves to optimize and extend the native experience""",addon_prefs.py:12
